Word,xʃxƨſ ,Type,Meaning,Noun,Verb,Modifier,Origin,IPA,Family,Tokima Word,Relabel v1 Word,Rev_Type,pre-h/c,T,R,Antonym,Antonym wrong?
tun,ʌ̄ſ,Verb,to do (an action),an action/job,to do/perform/execute/work,action-like/doable,Dutch doen,/dun/,Germanic,pali,kola,Verb,-,X,X,,.
tunci,ʌ̄ſɛı,Modifier,nonbinary/queer(?),nonbinaryness/queerness(?),to be nonbinary/queer(?),nonbinary/queer(?),Cantonese 同志 tung zi,/tʰʊŋ²¹ t͡siː³³/,Sino-Tibetan,tonsi,tonsi,ModifierG,tunti,X,X,,.
tuntan,ʌ̄ſʌ̄,Modifier,correct,correctness/fairness,to be correct/right/fair,correct/right/fair,Vietnamese đúng đắn,[ʔɗʊwŋ͡m˦˥ ʔɗaŋ˦˥],Austro-Asiatic,tuntan,tuntan,Modifier+,-,.,.,janlu,.
tusa,ʌſɤ,Modifier,grey,greyness,to be grey,grey,Hindi धूसर dhūsar,[d̪ʱuː.s̪əɾ],Indo-Iranian,kapesi,kapesi,ModifierG,-,X,X,,.
ujanu,oſɂƨſ,Modifier,awake,wakefulness,to be awake,awake,Turkish uyanık,/u.jaˈnɯk/,Turkic,-,-,Modifier0,-,X,X,antomi,.
ukama,oſxɞ,Noun,plant,plant,to be a plant,plant-related,Mongolian ургамал urgamal,,Mongolic,kasi,pota,Noun,-,X,X,,.
ukiki,oſxıxı,Noun,monkey/ape,monkey/ape,to be a monkey/ape,monkey/ape-related,Onomatopoeia,-,Misc,keke,keke,Noun,-,X,X,,.
uli,oſʋı,Modifier,weak,weakness,to be weak,weak,Mandarin 無力 wúlì,/u³⁵ li⁵¹/,Sino-Tibetan,one,one,Modifier0,-,X,X,len,.
ulokan,oſʋʃx̄,Noun,metal,metal,to be metal,metal-related/metallic,Tamil உலோகம் ulōkam,/uloːɡɐm/,Dravidian,ulokan,ulokan,Noun,-,.,.,,.
umami,oſɞɞı,Modifier,savory,savoriness,to be savory,savory,Japanese 旨味 umami,[ɯ̟ᵝma̠mʲi],Japonic,umami,umami,ModifierG,-,.,.,,.
umo,oſɞʃ,Noun,smoke/cloud,smoke/cloud,to be smoke/a cloud,smoke/cloud-related,Spanish humo,[ˈu.mo],Romance,pume,pume,Noun,-,X,X,,.
un,ōſ,Connector,and,-,-,-,German und,/ʊnt/,Germanic,en,en,Grammar,-,X,X,lekin,.
unitu,oſƨıʌſ,Modifier,joined,linkedness/unity,to be joined/linked/united,joined/linked/united,Brazilian Portuguese unido,/uˈni.du/,Romance,tewe,tewe,ModifierG,-,X,X,panli,.
usen,oſɤ̄ȷ,Pronoun,each other,each other,to be each other,each other's,Cantonese 互相 wu soeng,/wuː²² sœːŋ⁵⁵/,Sino-Tibetan,-,-,Pronoun,-,X,X,sa,.
uta,oſʌ,Modifier,also,inclusion,to be included,also/too/included,Quechua utaq,,Quechua,pin,pin,Modifier+,-,X,X,samo,.
wa,ɕ,Grammar,noun phrase collapser particle,-,-,-,-,-,Misc,pi,opi,Grammar,-,X,X,,.
waju,ɕɂſ,Noun,air/gas,air/gas,to be air/gas,air/gas-related,Sanskrit वायु vāyú,[ʋäː.juː],Indo-Iranian,kon,waju,Noun,-,X,.,,.
wala,ɕʋ,Noun,sibling,sibling,to be a sibling,sibling/related,Somali walaal,,Afroasiatic,walala,walala,Noun,-,X,X,,.
wan,ɕ̄,Quantity,one,one,to be one,first,English one,/wʌn/,Germanic,wan,ono,Quantity,-,.,X,,.
wanku,ɕ̄xſ,Modifier,curved,curviness,to be curved,curved,Cantonese 彎曲 waan kuk,/waːn⁵⁵ kʰʊk̚⁵/,Sino-Tibetan,-,-,Modifier>,-,X,X,mutakin,.
watan,ɕʌ̄,Noun,ring/circle,ring/circle/disc,to be a ring/circle/disc,ring/circle/disc-related,Tamil வட்டம் vaṭṭam,/ʋɐʈːɐm/,Dravidian,sike,kulu,Noun,-,X,X,,.
wen,ɕ̄ȷ,Grammar,(that) is; copula-apposition marker,-,-,-,-,-,Misc,-,-,Grammar,-,X,X,,.
wi,ɕı,Grammar,modifier-forcing derivational marker,-,-,-,-,-,Misc,-,-,Grammar,-,X,X,,.
wija,ɕıɂ,Preposition,via/through/using,-,-,-,Latin via,[ˈu̯iä]/[ˈviːä],Romance,pelu,pelu,Preposition,-,X,X,,.
wiki,ɕıxı,Modifier,fast,fastness/quickness/speed,to be fast/quick/speedy,fast/quick/speedy,Hawaiian wiki,[ˈviki],Austronesian,wiki,wiki,Modifier>,-,.,.,tile,.
wisan,ɕıɤ̄,Verb,to know (knowledge),knowledge,to know,knowledge-like/knowable,German Wissen,/ˈvɪsən/,Germanic,sona,lensa,Verb,-,X,X,,.
wonpa,ɕ̄ʃʜ,Modifier,sexual,sexualness/sexuality,to be sexual,sexual,Onomatopoeia,-,Misc,unpa,unpa,Modifier>,-,X,X,wi no wonpa,.
